Track : Heavy (feat. blackbear) |  Artist : MOD SUN
Track : Wolves |  Artist : MISSIO
Track : Take Me Instead |  Artist : Zero 9:36
Track : Solitude |  Artist : JXN
Track : When We Were Young |  Artist : Flawes
Track : Breakdown |  Artist : Kayzo
Track : Magic |  Artist : Half the Animal
Track : Rich Girl |  Artist : Soulex
Track : fall apart (with glaive) |  Artist : renforshort
Track : Fuck You |  Artist : Silent Child
Track : One Night |  Artist : Jeris Johnson
Track : Use Me (feat. 070 Shake) |  Artist : PVRIS
Track : Palm Reader |  Artist : DREAMERS
Track : MoneyOnMyMind |  Artist : UPSAHL
Track : Our House (The Mess We Made) |  Artist : You Me At Six
Track : Bones |  Artist : MOD SUN
Track : That Bitch |  Artist : Sizzy Rocket
Track : Bipolar Rhapsody |  Artist : KID BRUNSWICK
Track : Oh No!!! |  Artist : grandson

Track : On The Luna |  Artist : Foals
Track : Devil's Spoke |  Artist : Laura Marling
Track : Pretty Pimpin |  Artist : Kurt Vile
Track : Berlin Got Blurry |  Artist : Parquet Courts
Track : We Used to Wait |  Artist : Arcade Fire
Track : Ready to Start |  Artist : Arcade Fire
Track : Blue Moon |  Artist : Beck
Track : Boys In the Better Land |  Artist : Fontaines D.C.
Track : Default |  Artist : Django Django
Track : Avant Gardener |  Artist : Courtney Barnett
Track : Press Enter To Exit |  Artist : The Horrors
Track : Stylo (feat. Mos Def and Bobby Womack) |  Artist : Gorillaz
Track : Breezeblocks |  Artist : alt-J
Track : The High Road |  Artist : Broken Bells
Track : The Runner |  Artist : Foals
Track : Everything Now |  Artist : Arcade Fire
Track : Life Itself |  Artist : Glass Animals
Track : Holy City |  Artist : Joan As Police Woman
Track : Concrete |  Artist : shame
Track : One Rizla |  Artist : shame
Track : The Beigeness |  Artist : Kate Tempest
Track : Husbands |  Artist : Savages
Track : Fill in the Blank |  Artist : Car Seat Headrest
Track : Distant Past |  Artist : Everything Everything
Track : Wait in the Car |  Artist : The Breeders
Track : Pedestrian at Best |  Artist : Courtney Barnett
Track : AKA... What A Life! |  Artist : Noel Gallagher's High Flying Birds
Track : Mesmerise |  Artist : Temples
Track : Red Eyes |  Artist : The War On Drugs
Track : Big |  Artist : Fontaines D.C.
Track : My Number |  Artist : Foals
Track : Return to the Moon (Political Song for Didi Bloome to Sing, with Crescendo) |  Artist : EL VY
Track : Marks To Prove It |  Artist : The Maccabees
Track : Busy Earnin' |  Artist : Jungle
Track : Up All Night |  Artist : Beck
Track : Alligator |  Artist : Of Monsters and Men
Track : Runaway |  Artist : AURORA
Track : Best of Friends |  Artist : Palma Violets
Track : Tessellate |  Artist : alt-J
Track : A New Wave |  Artist : Sleater-Kinney
Track : Do I Wanna Know? |  Artist : Arctic Monkeys
Track : Master Of My Craft |  Artist : Parquet Courts
Track : Back of Your Neck |  Artist : Howler
Track : Like Lightning |  Artist : Foals
Track : Left Hand Free |  Artist : alt-J
Track : Gunga Din |  Artist : The Libertines
Track : West Coast |  Artist : FIDLAR
Track : Random Name Generator |  Artist : Wilco
Track : Longshot |  Artist : Catfish and the Bottlemen
Track : Lightning Bolt |  Artist : Jake Bugg
Track : Exits |  Artist : Foals
Track : Too Real |  Artist : Fontaines D.C.
Track : Snap Out Of It |  Artist : Arctic Monkeys
Track : Daffodils (feat. Kevin Parker) |  Artist : Mark Ronson
Track : Digital Witness |  Artist : St. Vincent
Track : Seasons (Waiting On You) |  Artist : Future Islands
Track : Simple Song |  Artist : The Shins
Track : Bros |  Artist : Wolf Alice
Track : Bobbi's Second World |  Artist : The Orielles
Track : Daddy's Car |  Artist : Eno • Hyde
Track : Bubblegum |  Artist : Mystery Jets
Track : Bury Our Friends |  Artist : Sleater-Kinney
Track : Still Life |  Artist : The Horrors
Track : Bloodbuzz Ohio |  Artist : The National
Track : Come For Me |  Artist : Sunflower Bean
Track : Class Historian |  Artist : BRONCHO
Track : No Reptiles |  Artist : Everything Everything
Track : Mountain at My Gates |  Artist : Foals
Track : Every Other Freckle |  Artist : alt-J
Track : Cheetah Tongue |  Artist : The Wombats
Track : Holda You (I'm Psycho) |  Artist : White Denim
Track : Starstruck - Single Version |  Artist : Sorry
Track : Zombie |  Artist : Jamie T
Track : Nameless, Faceless |  Artist : Courtney Barnett
Track : Holding on for Life |  Artist : Broken Bells
Track : After the Disco |  Artist : Broken Bells
Track : Chartjunk |  Artist : Stephen Malkmus & The Jicks

Track : Liar, Liar |  Artist : Castaways
Track : Funnel Of Love |  Artist : Wanda Jackson
Track : (We Ain't Got) Nothin' Yet |  Artist : The Blues Magoos
Track : Kick Out The Jams (Original Uncensored Version) |  Artist : MC5
Track : Making Time |  Artist : The Creation
Track : Maggie's Farm |  Artist : Bob Dylan
Track : Shifting Sands |  Artist : The West Coast Pop Art Experimental Band
Track : Philosophy of the World |  Artist : The Shaggs
Track : Fortunate Son |  Artist : Creedence Clearwater Revival
Track : Oscillations |  Artist : Silver Apples
Track : Wipe Out |  Artist : The Surfaris
Track : Laisse tomber les filles |  Artist : France Gall
Track : 96 Tears |  Artist : ? & The Mysterians
Track : Egyptian Shumba |  Artist : The Tammys
Track : A Minha Menina |  Artist : Os Mutantes
Track : Dirty Water |  Artist : The Standells
Track : Light Flight |  Artist : Pentangle
Track : Fire |  Artist : Arthur Brown
Track : I Fought the Law - Single Version |  Artist : The Bobby Fuller Four
Track : These Days |  Artist : Nico
Track : All Along the Watchtower |  Artist : Jimi Hendrix
Track : House of the Rising Sun |  Artist : The Animals
Track : White Rabbit |  Artist : Jefferson Airplane
Track : Tomorrow Never Knows - Remastered |  Artist : The Beatles
Track : For What It's Worth |  Artist : Buffalo Springfield
Track : I Want Candy |  Artist : The Strangeloves
Track : Gloria - Stereo Version |  Artist : Them
Track : So Long, Marianne |  Artist : Leonard Cohen
Track : Light My Fire |  Artist : The Doors
Track : Waitin' Around To Die |  Artist : Townes Van Zandt
Track : A Whiter Shade Of Pale |  Artist : Procol Harum
Track : I Had Too Much to Dream (Last Night) |  Artist : The Electric Prunes
Track : Have Love Will Travel |  Artist : The Sonics
Track : Telstar |  Artist : The Tornados
Track : Death Cab for Cutie - 2007 Remaster |  Artist : The Bonzo Dog Band
Track : I Wanna Be Your Dog |  Artist : The Stooges
Track : Johnny Remember Me |  Artist : John Leyton
Track : Misirlou |  Artist : Dick Dale and his Del-Tones
Track : Pictures of Matchstick Men - Mono Version |  Artist : Status Quo
Track : Sunshine Of Your Love |  Artist : Cream
Track : Debora |  Artist : T. Rex
Track : Space Oddity - 2015 Remaster |  Artist : David Bowie
Track : Terry |  Artist : Twinkle
Track : Crimson & Clover |  Artist : Tommy James & The Shondells
Track : Mini, mini, mini |  Artist : Jacques Dutronc
Track : She's a Lover |  Artist : The Pretty Things
Track : Communication Breakdown - Remaster |  Artist : Led Zeppelin
Track : I Can't Explain - Mono Version |  Artist : The Who
Track : Trouble Every Day |  Artist : The Mothers Of Invention
Track : Turn! Turn! Turn! (To Everything There Is a Season) |  Artist : The Byrds
Track : Complication |  Artist : The Monks
Track : Zig Zag Wanderer |  Artist : Captain Beefheart & His Magic Band
Track : Louie Louie |  Artist : The Kingsmen
Track : She's Not There |  Artist : The Zombies
Track : Pretty Big Mouth |  Artist : Count Five
Track : Lies (are breaking my heart) |  Artist : The Knickerbockers
Track : Surfin' Bird |  Artist : The Trashmen
Track : Piece Of My Heart |  Artist : Janis Joplin
Track : Bonnie And Clyde |  Artist : Brigitte Bardot
Track : Psychotic Reaction |  Artist : Positively 13 O'Clock
Track : Friday On My Mind |  Artist : The Easybeats
Track : Over Under Sideways Down - The Mono Album |  Artist : The Yardbirds
Track : The Hedgehog's Song - 2010 Remaster |  Artist : The Incredible String Band
Track : Can't Find My Way Home |  Artist : Blind Faith
Track : Incense And Peppermints |  Artist : Strawberry Alarm Clock
